accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.631601950100911934e-03,2.619640408107143603e+00,-9.790552234137432919e+00
1.598377262346106645e-03,2.623434894258932282e+00,-9.786472291882759578e+00
6.855824430673773499e-03,2.624639666200257349e+00,-9.785099260691495715e+00
1.470619263867689900e-03,2.619738186335601071e+00,-9.794442351397140811e+00
1.452085300474559174e-03,2.618372419523098849e+00,-9.788568809636840840e+00
-3.464957863836707307e-03,2.616164582409780337e+00,-9.795771093266601781e+00
-2.621357784318567065e-03,2.609177812109414241e+00,-9.789160502269020014e+00
3.283964115504722000e-03,2.619236076796877644e+00,-9.802045736104577855e+00
-1.217987957413678955e-03,2.625553884520213099e+00,-9.795701748871127990e+00
1.972760572483066212e-03,2.613406977564050937e+00,-9.798992739124756213e+00
-6.805645129760468109e-06,2.621357743298176501e+00,-9.796522982072612962e+00
1.694926830018811956e-03,2.622001355126080568e+00,-9.799877313864030270e+00
-9.724387690001185230e-04,2.616941090145353588e+00,-9.799778615175709362e+00
-1.735906343079127558e-03,2.617100864969603702e+00,-9.796231004464948100e+00
-1.235564147891788419e-03,2.618037778572228191e+00,-9.793745618145774046e+00
-5.517783248283890905e-03,2.621607453702397894e+00,-9.793656791146016616e+00
2.837984882035371383e-03,2.621205473694262267e+00,-9.798193641161988765e+00
-6.871574185179926166e-03,2.616762158216300538e+00,-9.786326014796703276e+00
6.662191439672864555e-03,2.618652130630561459e+00,-9.804346298837145923e+00
6.443428748971600194e-03,2.621171353612488986e+00,-9.792184676781539920e+00
-1.396091763493024140e-03,2.618354247792520795e+00,-9.788763905327558135e+00
2.264551879261006515e-04,2.616204240142313342e+00,-9.793139732637664352e+00
1.222718483750371166e-03,2.616877405051055039e+00,-9.793815359878989213e+00
6.903750494017323741e-03,2.618944697944041167e+00,-9.801277691526417257e+00
9.798478134328722847e-03,2.623837632147502319e+00,-9.807897912728867240e+00
-7.417239784830257157e-03,2.617185867406734978e+00,-9.788290119364349451e+00
3.901943046994035998e-03,2.611366629703208542e+00,-9.791850010247690861e+00
1.949908892762215696e-03,2.616104288961206059e+00,-9.798189105042071745e+00
3.714291921317335998e-03,2.612118474185789019e+00,-9.796594482106121049e+00
-4.560585414417402984e-03,2.616769082565288063e+00,-9.802106945933415361e+00
-5.163402070313465216e-03,2.618222881322753270e+00,-9.794180584139098755e+00
1.029158835825761753e-03,2.618001365550507220e+00,-9.792679784286558942e+00
4.273454890550764523e-03,2.623134594015946952e+00,-9.795042773631694288e+00
-3.229874147709981165e-03,2.616540813352827843e+00,-9.789722820034679529e+00
8.515232013789708274e-03,2.609983335095660273e+00,-9.790898003261201410e+00
4.498827962291603554e-03,2.618961240757633036e+00,-9.800767371991868870e+00
-7.891321491322476813e-04,2.612658588561945106e+00,-9.794837407075471347e+00
4.110116226360130756e-03,2.620037613534342835e+00,-9.798857222770983810e+00
5.825137642617115967e-03,2.615021746145004489e+00,-9.802877206713407787e+00
6.090466179387442509e-03,2.615130682116448391e+00,-9.800582397864060269e+00
-7.684740149850336150e-04,2.617280493969614596e+00,-9.793007347978017307e+00
-2.352281229992894424e-03,2.625305585536735542e+00,-9.796276738817502050e+00
-7.888444303524587073e-03,2.619403523303506010e+00,-9.791787365436773527e+00
1.488991444462741840e-03,2.611674437800004078e+00,-9.790736973619953432e+00
6.176275342197955036e-03,2.608874897759486444e+00,-9.793768998926980274e+00
1.855071737487215848e-03,2.616446800335760159e+00,-9.792921315477077115e+00
1.065541092195160244e-02,2.630478839720558959e+00,-9.802870321367917583e+00
-3.440731290929782476e-04,2.612782568386599724e+00,-9.798635856274332312e+00
3.422436259463436468e-03,2.617445377460900335e+00,-9.789642033504899032e+00
-6.886177853707615287e-03,2.624818530632575087e+00,-9.789207321189508093e+00
3.625010822947437750e-03,2.617328928145684408e+00,-9.797919324568377775e+00
9.743646476794704317e-03,2.618093510511859012e+00,-9.785045956809113932e+00
-4.608492717789296374e-03,2.622717392911700252e+00,-9.794538341103878665e+00
-3.049822883975939099e-03,2.620207919963275511e+00,-9.792203964161432239e+00
-5.609357458508416275e-04,2.621625307793342241e+00,-9.788095918777974802e+00
-7.341963172506093573e-03,2.618654252124226645e+00,-9.791383655710005129e+00
3.659095762555859832e-03,2.611045662949665225e+00,-9.795562283614021482e+00
-8.516299587540727620e-03,2.614738727467494250e+00,-9.792015666874533508e+00
-5.027498721828813771e-03,2.619228596753488070e+00,-9.799096049178247725e+00
-9.713345607106370675e-05,2.609041465954443861e+00,-9.800433473580268284e+00
6.401326184643529350e-05,2.615646889606574543e+00,-9.801893797351207027e+00
-9.208284630517520747e-03,2.616948302025844164e+00,-9.800239746059677515e+00
-2.381600079030799476e-03,2.607192905865096222e+00,-9.795746945476880185e+00
2.916781667748839964e-03,2.615845642295317575e+00,-9.795544619596904923e+00
3.749750251867364249e-04,2.621846084689172685e+00,-9.793015816992605593e+00
-3.500611974097229788e-03,2.620022889761217666e+00,-9.794439535496866966e+00
3.634133872294213752e-03,2.620528839958899958e+00,-9.797792110272446564e+00
3.530413464883517139e-03,2.615805696783002787e+00,-9.795049203600653343e+00
9.860718318601881943e-03,2.618832618134294687e+00,-9.787142713076155687e+00
-1.742511389511949360e-03,2.615112565627939034e+00,-9.789411051124854879e+00
-1.438664116309791531e-03,2.617543549539353087e+00,-9.792900002897777512e+00
3.505940671772865124e-03,2.612092823756111848e+00,-9.791737636563771829e+00
3.388820346861383653e-03,2.617431125127370528e+00,-9.795619153853833083e+00
3.416127758468109638e-03,2.621811960248104700e+00,-9.797573868959350563e+00
-2.533936084462538180e-03,2.619270405392014389e+00,-9.790663136008623368e+00
7.323373382321916522e-03,2.615791915911942489e+00,-9.793911498351224765e+00
6.078925164049531552e-03,2.628025109954196914e+00,-9.796169224443433521e+00
2.065603626900678995e-03,2.617791376781833712e+00,-9.797452994793248493e+00
-5.787933532557183562e-03,2.614029792973248778e+00,-9.801026137278343597e+00
2.037533478368560701e-03,2.612346485347854852e+00,-9.798679480102634898e+00
-3.989922568977786674e-03,2.602472220269288261e+00,-9.791571545051718672e+00
-1.610207623819876832e-03,2.620917381248353273e+00,-9.795047575031423648e+00
-4.079028473113320390e-03,2.614726492792397217e+00,-9.799759795131141260e+00
1.547138509376178755e-04,2.626066615070052901e+00,-9.798451303322714523e+00
-4.288759857608816055e-03,2.615036658649497081e+00,-9.795486003003290421e+00
1.042284274167672511e-02,2.610880993395755745e+00,-9.789065523956669068e+00
1.881873314047036692e-03,2.618582990812218458e+00,-9.793366809861774769e+00
1.162101209946955023e-03,2.615165455084590640e+00,-9.793436380457048784e+00
7.003368039859771566e-04,2.623003293440574257e+00,-9.789502550138033499e+00
1.244370954078712370e-03,2.615149944043438701e+00,-9.788207727086403409e+00
-4.404101241184684747e-03,2.611669699638164310e+00,-9.801482722835141104e+00
6.732596324945062591e-03,2.625866913990332119e+00,-9.797606005280494301e+00
4.631443749916299910e-03,2.616061402341872455e+00,-9.798543914587673598e+00
-4.839251312125121031e-03,2.608974792511084662e+00,-9.793105052294473367e+00
-1.316643133779938669e-03,2.609209168979538696e+00,-9.797819376065808328e+00
-4.900209518767638210e-03,2.609906547321094727e+00,-9.798393924567422530e+00
-7.083623447499006430e-03,2.615282508496285629e+00,-9.792283687529321767e+00
-2.119626550382646898e-03,2.619987001055755993e+00,-9.791116560164422111e+00
9.122538639261037682e-03,2.613894980457025508e+00,-9.793372014777625978e+00
-2.054038977881029408e-03,2.614663513835727926e+00,-9.791877067218614172e+00
4.318084617265777365e-03,2.613398041072406475e+00,-9.796921301851378772e+00
2.810479083553393213e-03,2.613138707568753549e+00,-9.795209021167361030e+00
2.556223099715937159e-03,2.613983382912606679e+00,-9.795325796830139709e+00
-3.425204139071643793e-03,2.615725725757910514e+00,-9.797300157106299423e+00
1.167814398207824358e-02,2.613074122969232693e+00,-9.798298514371197143e+00
2.204773717110835272e-03,2.626116474250456356e+00,-9.793003762460582351e+00
