mag_x (uT),mag_y (uT),mag_z (uT)
3.276396590383630780e+01,9.166003460678165959e-01,3.752936840905750415e+01
3.276113398933065923e+01,8.417070688205718909e-01,3.751152403164904570e+01
3.276072808051000607e+01,7.370009075397964127e-01,3.753048783373046149e+01
3.277232592666126010e+01,6.528876926434532546e-01,3.752792700473550980e+01
3.276562734764073781e+01,5.643952022174479888e-01,3.754830421279197594e+01
3.276751950990406925e+01,4.872138805219182189e-01,3.754478074428513423e+01
3.277325251775185677e+01,3.984958746485346981e-01,3.751729173485641411e+01
3.278136032589778637e+01,3.319812223622816139e-01,3.754021564266590616e+01
3.279132579027170635e+01,2.396766115815576470e-01,3.754235720715011126e+01
3.278413823491350598e+01,1.409919638345655257e-01,3.751739669094247631e+01
3.276900744925201536e+01,4.431832516244174625e-02,3.751377566013421472e+01
3.276394392865622507e+01,-1.853056195218338864e-02,3.752777779304886963e+01
3.277536406844973982e+01,-1.171183539620517244e-01,3.754105734208725664e+01
3.275067670345388393e+01,-2.061821212591942176e-01,3.753812978518575960e+01
3.277526959250929650e+01,-2.796213978357188212e-01,3.752966485176932565e+01
3.277227457251650122e+01,-3.644602137615637893e-01,3.753352330996358432e+01
3.276847409353832319e+01,-4.467455783762708244e-01,3.752046946143152439e+01
3.275194571256881915e+01,-5.243475128380109540e-01,3.753591814285739048e+01
3.276942158189678622e+01,-6.230200863946397938e-01,3.752237520615044275e+01
3.276560800061472634e+01,-7.112425779447572038e-01,3.755479840227248189e+01
3.277466419704445855e+01,-8.007822268846082059e-01,3.752561773841365067e+01
3.276224889490065806e+01,-8.849911098538946197e-01,3.753185299457798152e+01
3.276936648498284654e+01,-9.556218672580721885e-01,3.752966990930310942e+01
3.275191747577011370e+01,-1.036645259821868503e+00,3.752973213028096922e+01
3.276038156544783675e+01,-1.149911073586186383e+00,3.754179695953663298e+01
3.276096662826616068e+01,-1.223477159608618914e+00,3.752870620320127415e+01
3.276131648146923681e+01,-1.312767964411678978e+00,3.752492532096188427e+01
