time (sec),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.02190E+02,1.9404714605310500E+00,0.0000000000000000E+00,-1.0152194397589400E+00
2.02200E+02,1.9477054485806700E+00,0.0000000000000000E+00,-1.0229582032366400E+00
2.02210E+02,1.9549283035567200E+00,0.0000000000000000E+00,-1.0307062277646400E+00
2.02220E+02,1.9621401116572300E+00,0.0000000000000000E+00,-1.0384633754859700E+00
2.02230E+02,1.9693409589069300E+00,0.0000000000000000E+00,-1.0462295099888500E+00
2.02240E+02,1.9765309311502400E+00,0.0000000000000000E+00,-1.0540044962932200E+00
2.02250E+02,1.9837101140444800E+00,0.0000000000000000E+00,-1.0617882008374300E+00
2.02260E+02,1.9908785930531800E+00,0.0000000000000000E+00,-1.0695804914650200E+00
2.02270E+02,1.9980364534396300E+00,0.0000000000000000E+00,-1.0773812374115000E+00
2.02280E+02,2.0051837802605400E+00,0.0000000000000000E+00,-1.0851903092914200E+00
2.02290E+02,2.0123206583598800E+00,0.0000000000000000E+00,-1.0930075790853400E+00
2.02300E+02,2.0194471723628900E+00,0.0000000000000000E+00,-1.1008329201270600E+00
2.02310E+02,2.0265634066702100E+00,0.0000000000000000E+00,-1.1086662070908300E+00
2.02320E+02,2.0336694454521900E+00,0.0000000000000000E+00,-1.1165073159787700E+00
2.02330E+02,2.0407653726433400E+00,0.0000000000000000E+00,-1.1243561241083000E+00
2.02340E+02,2.0478512719369200E+00,0.0000000000000000E+00,-1.1322125100997000E+00
2.02350E+02,2.0549272267797300E+00,0.0000000000000000E+00,-1.1400763538637800E+00
2.02360E+02,2.0619933203669000E+00,0.0000000000000000E+00,-1.1479475365896400E+00
2.02370E+02,2.0690496356370100E+00,0.0000000000000000E+00,-1.1558259407325500E+00
2.02380E+02,2.0760962552672000E+00,0.0000000000000000E+00,-1.1637114500018700E+00
2.02390E+02,2.0831332616684600E+00,0.0000000000000000E+00,-1.1716039493491300E+00
