time (sec),ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.42770E+02,3.2001716573468900E+01,1.2000142930168600E+02,1.7302499175933900E+02
2.42780E+02,3.2001716574113300E+01,1.2000143035995500E+02,1.7302501194211700E+02
2.42790E+02,3.2001716574754200E+01,1.2000143141822300E+02,1.7302503196691200E+02
2.42800E+02,3.2001716575391800E+01,1.2000143247649200E+02,1.7302505183455300E+02
2.42810E+02,3.2001716576026100E+01,1.2000143353476000E+02,1.7302507154586500E+02
2.42820E+02,3.2001716576657000E+01,1.2000143459302900E+02,1.7302509110166900E+02
2.42830E+02,3.2001716577284600E+01,1.2000143565129800E+02,1.7302511050278000E+02
2.42840E+02,3.2001716577908900E+01,1.2000143670956600E+02,1.7302512975001200E+02
2.42850E+02,3.2001716578529900E+01,1.2000143776783500E+02,1.7302514884417100E+02
2.42860E+02,3.2001716579147700E+01,1.2000143882610400E+02,1.7302516778606100E+02
2.42870E+02,3.2001716579762200E+01,1.2000143988437200E+02,1.7302518657648200E+02
2.42880E+02,3.2001716580373500E+01,1.2000144094264100E+02,1.7302520521622900E+02
2.42890E+02,3.2001716580981600E+01,1.2000144200090900E+02,1.7302522370609200E+02
2.42900E+02,3.2001716581586500E+01,1.2000144305917800E+02,1.7302524204685900E+02
2.42910E+02,3.2001716582188300E+01,1.2000144411744700E+02,1.7302526023931100E+02
2.42920E+02,3.2001716582786800E+01,1.2000144517571500E+02,1.7302527828422800E+02
2.42930E+02,3.2001716583382300E+01,1.2000144623398400E+02,1.7302529618238400E+02
2.42940E+02,3.2001716583974600E+01,1.2000144729225300E+02,1.7302531393455000E+02
2.42950E+02,3.2001716584563800E+01,1.2000144835052100E+02,1.7302533154149100E+02
2.42960E+02,3.2001716585149900E+01,1.2000144940879000E+02,1.7302534900397100E+02
2.42970E+02,3.2001716585732900E+01,1.2000145046705900E+02,1.7302536632274700E+02
2.42980E+02,3.2001716586312900E+01,1.2000145152532700E+02,1.7302538349857300E+02
2.42990E+02,3.2001716586889800E+01,1.2000145258359600E+02,1.7302540053220100E+02
2.43000E+02,3.2001716587463700E+01,1.2000145364186500E+02,1.7302541742437600E+02
2.43010E+02,3.2001716588034600E+01,1.2000145470013300E+02,1.7302543417584200E+02
2.43020E+02,3.2001716588602400E+01,1.2000145575840200E+02,1.7302545078733600E+02
2.43030E+02,3.2001716589167300E+01,1.2000145681667100E+02,1.7302546725959400E+02
2.43040E+02,3.2001716589729300E+01,1.2000145787493900E+02,1.7302548359334600E+02
2.43050E+02,3.2001716590288300E+01,1.2000145893320800E+02,1.7302549978932000E+02
2.43060E+02,3.2001716590844300E+01,1.2000145999147700E+02,1.7302551584823800E+02
2.43070E+02,3.2001716591397400E+01,1.2000146104974500E+02,1.7302553177082000E+02
2.43080E+02,3.2001716591947700E+01,1.2000146210801400E+02,1.7302554755778200E+02
2.43090E+02,3.2001716592495000E+01,1.2000146316628300E+02,1.7302556320983600E+02
2.43100E+02,3.2001716593039500E+01,1.2000146422455100E+02,1.7302557872769000E+02
2.43110E+02,3.2001716593581100E+01,1.2000146528282000E+02,1.7302559411204800E+02
2.43120E+02,3.2001716594119900E+01,1.2000146634108900E+02,1.7302560936361100E+02
2.43130E+02,3.2001716594655800E+01,1.2000146739935800E+02,1.7302562448307700E+02
2.43140E+02,3.2001716595188900E+01,1.2000146845762600E+02,1.7302563947113800E+02
2.43150E+02,3.2001716595719300E+01,1.2000146951589500E+02,1.7302565432848400E+02
2.43160E+02,3.2001716596246800E+01,1.2000147057416400E+02,1.7302566905580200E+02
2.43170E+02,3.2001716596771600E+01,1.2000147163243200E+02,1.7302568365377500E+02
2.43180E+02,3.2001716597293600E+01,1.2000147269070100E+02,1.7302569812308000E+02
2.43190E+02,3.2001716597812900E+01,1.2000147374897000E+02,1.7302571246439400E+02
2.43200E+02,3.2001716598329400E+01,1.2000147480723900E+02,1.7302572667838800E+02
2.43210E+02,3.2001716598843300E+01,1.2000147586550700E+02,1.7302574076573000E+02
2.43220E+02,3.2001716599354400E+01,1.2000147692377600E+02,1.7302575472708700E+02
2.43230E+02,3.2001716599862900E+01,1.2000147798204500E+02,1.7302576856311800E+02
2.43240E+02,3.2001716600368700E+01,1.2000147904031300E+02,1.7302578227448200E+02
